Año: 2024,,,,,,,,,,,,,
Producción Agrícola,,,,,,,,,,,,,
Ciclo: Ciclicos - Perennes,,,,,,,,,,,,,
Modalidad: Riego + Temporal,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Cultivo,Variedad,UDM,Tipo de tecnología,Tipo de producción,Tipo de mercado,Superficie,,,Producción,Rendimiento,PMR,Valor Producción
,,,,,,,(ha),,,,(udm/ha),($/udm),(miles de Pesos)
,,,,,,,Sembrada,Cosechada,Siniestrada,,,,
350,Frijol,Frijol bayo berrendo,Tonelada,Cielo abierto,Convencional,Nacional,993.5,963.5,30,901.24,0.94,"23,606.74","21,275.34"
351,Frijol,Frijol pinto americano,Tonelada,Cielo abierto,Convencional,Nacional,"13,428.50","13,174.50",254,"15,411.17",1.17,"19,917.06","306,945.27"
352,Frijol,Frijol otros claros,Tonelada,Cielo abierto,Convencional,Nacional,"27,412.81","23,910.81","3,502.00","18,054.69",0.76,"16,588.48","299,499.78"
353,Frijol,Frijol canario,Tonelada,Cielo abierto,Convencional,Nacional,"6,125.70","5,627.70",498,"5,994.93",1.07,"15,790.42","94,662.47"
354,Frijol,Frijol pinto saltillo,Tonelada,Cielo abierto,Convencional,Nacional,"501,287.86","405,169.27","96,118.59","233,614.49",0.58,"21,079.71","4,924,526.83"
355,Frijol,Frijol otros negros,Tonelada,Cielo abierto,Convencional,Nacional,"142,900.21","142,486.96",413.25,"95,787.35",0.67,"15,273.38","1,462,996.74"
356,Frijol forrajero,Frijol forrajero,Tonelada,Cielo abierto,Convencional,Nacional,"1,034.00","1,034.00",0,"7,031.20",6.8,"1,075.25","7,560.30"
357,Frijol x pelón,Frijol x pelón s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,367.4,367.4,0,998.4,2.72,"7,777.45","7,765.01"
358,Gai lan (kay laan),Gai lan (kay laan),Tonelada,Cielo abierto,Convencional,Exportación,20,20,0,288,14.4,"15,270.46","4,397.89"
359,Gai lan (kay laan),Gai lan (kay laan) s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,660,660,0,"8,751.20",13.26,"12,637.29","110,591.49"
360,Garbanzo forrajero,Garbanzo forrajero s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"6,635.50","3,477.50","3,158.00","22,279.08",6.41,"3,723.90","82,964.99"
361,Garbanzo grano,Garbanzo grano blanco,Tonelada,Cielo abierto,Convencional,Exportación,"37,872.00","37,872.00",0,"90,005.33",2.38,"17,892.27","1,610,399.44"
362,Garbanzo grano,Garbanzo grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,"88,567.82","88,455.82",112,"176,620.81",2,"16,203.79","2,861,927.36"
363,Garbanzo grano,Garbanzo grano s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,3,3,0,1.62,0.54,"5,100.00",8.26
364,Garbanzo porquero,Garbanzo porquero s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,517,517,0,730.91,1.41,"1,860.07","1,359.55"
365,Geranio,Geranio,Planta,Invernadero,Convencional,Nacional,42.7,42.7,0,"8,691,755.03","203,553.98",13.78,"119,803.56"
366,Gerbera,Gerbera,Gruesa,Invernadero,Convencional,Nacional,114,114,0,"1,414,657.34","12,409.27",314.04,"444,263.07"
367,Girasol,Girasol s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"5,921.29","5,821.29",100,"5,344.10",0.92,"8,112.42","43,353.60"
368,Girasol flor,Girasol flor s/clasificar,Gruesa,Cielo abierto,Convencional,Exportación,193,193,0,"75,270.00",390,365,"27,473.55"
369,Girasol flor,Girasol flor s/clasificar,Gruesa,Cielo abierto,Convencional,Nacional,427.31,427.31,0,"193,213.42",452.16,310.76,"60,043.23"
370,Gladiola,Gladiola s/clasificar,Gruesa,Cielo abierto,Convencional,Nacional,"4,433.81","4,433.81",0,"5,559,758.63","1,253.95",294.04,"1,634,789.88"
371,Granada,Granada china,Tonelada,Cielo abierto,Convencional,Nacional,673.4,652.4,0,"3,689.96",5.66,"9,347.36","34,491.37"
372,Granada,Granada roja,Tonelada,Cielo abierto,Convencional,Nacional,817.1,617.95,0,"6,882.30",11.14,"15,577.55","107,209.41"
373,Guaje,Guaje s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,680.35,662.35,0,"8,708.21",13.15,"4,129.91","35,964.15"
374,Guamúchil,Guamúchil s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,3,3,0,10.5,3.5,"15,666.67",164.5
375,Guanábana,Guanábana s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"3,256.49","3,130.99",0,"30,039.13",9.59,"9,991.78","300,144.33"
376,Guayaba,Guayaba media china,Tonelada,Cielo abierto,Convencional,Exportación,800,800,0,"12,696.00",15.87,"9,009.65","114,386.45"
377,Guayaba,Guayaba s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,5.5,5.5,0,43.01,7.82,"7,325.00",315.05
378,Guayaba,Guayaba criolla,Tonelada,Cielo abierto,Convencional,Nacional,"1,194.70","1,172.43",0,"8,530.48",7.28,"6,997.41","59,691.27"
379,Guayaba,Guayaba china,Tonelada,Cielo abierto,Convencional,Nacional,"1,359.00","1,307.00",0,"13,556.16",10.37,"9,089.77","123,222.40"
380,Guayaba,Guayaba media china,Tonelada,Cielo abierto,Convencional,Nacional,"17,788.09","17,549.09",0,"267,532.94",15.24,"7,448.10","1,992,612.56"
381,Haba grano,Haba grano s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"16,406.66","16,406.66",0,"27,006.57",1.65,"11,951.34","322,764.65"
382,Haba verde,Haba verde s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"8,341.99","8,341.59",0.4,"53,806.97",6.45,"5,925.12","318,812.57"
383,Helecho,Helecho s/clasificar,Manojo,Cielo abierto,Convencional,Nacional,67.5,67.5,0,"146,137.50","2,165.00",38.15,"5,575.15"
384,Helecho,Helecho,Planta,Invernadero,Convencional,Nacional,7,7,0,"123,323.06","17,617.58",30.12,"3,714.49"
385,Henequén,Henequén s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"7,350.56","7,350.56",0,"6,735.13",0.92,"14,608.01","98,386.85"
386,Henequén,Henequén verde,Tonelada,Cielo abierto,Convencional,Nacional,702,0,0,0,0,0,0
387,Hierbabuena,Hierbabuena s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,33.5,30.5,0,462.42,15.16,"6,044.47","2,795.08"
388,Higo,Higo negro,Tonelada,Cielo abierto,Convencional,Exportación,166.7,166.7,0,919.6,5.52,"61,664.37","56,706.56"
389,Higo,Higo blanco,Tonelada,Cielo abierto,Convencional,Nacional,406.75,376,0,"1,813.60",4.82,"23,512.33","42,641.97"
390,Higo,Higo s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,10,5.5,0,11,2,"13,000.00",143
391,Higo,Higo negro,Tonelada,Cielo abierto,Convencional,Nacional,"1,524.42","1,285.05",0,"9,744.73",7.58,"24,169.79","235,528.07"
392,Higo,Higo blanco,Tonelada,Macro túnel,Convencional,Nacional,5,5,0,36.35,7.27,"36,463.00","1,325.43"
393,Higuerilla,Higuerilla s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,115,5,110,15,3,"8,500.00",127.5
394,Hoja de plátano (belillo),Hoja de plátano (belillo) s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"2,376.40","2,376.40",0,"47,458.00",19.97,"1,782.27","84,583.08"
395,"Hongos, setas y champiñones",Hongos chanpiñones,Tonelada,Invernadero,Convencional,Exportación,1.5,1.5,0,477,318,"34,500.00","16,456.50"
396,"Hongos, setas y champiñones",Hongos chanpiñones,Tonelada,Invernadero,Convencional,Nacional,11.95,11.95,0,"4,553.83",381.07,"9,659.19","43,986.31"
397,"Hongos, setas y champiñones",Hongos setas,Tonelada,Invernadero,Convencional,Nacional,0.57,0.57,0,69.41,121.77,"22,455.15","1,558.61"
398,"Hongos, setas y champiñones",Hongos setas,Tonelada,Invernadero,Orgánico,Nacional,30.96,30.96,0,"3,120.66",100.8,"20,456.90","63,839.04"
399,Hortalizas,Hortalizas s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,184,184,0,"1,895.34",10.3,"4,593.03","8,705.35"
400,Hortensia,Hortensia,Planta,Invernadero,Convencional,Nacional,2.8,2.8,0,"937,440.00","334,800.00",37.1,"34,779.02"
401,Huauzontle,Huauzontle s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,679.44,679.44,0,"7,612.65",11.2,"4,764.37","36,269.51"
402,Hule hevea,Hule hevea s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"29,595.90","28,068.90",0,"91,400.94",3.26,"10,985.41","1,004,076.60"
403,Inmortal,Inmortal s/clasificar,Manojo,Cielo abierto,Convencional,Nacional,9,9,0,"12,780.00","1,420.00",39,498.42
404,Jaca (jackfruit),Jaca (jackfruit) s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"1,775.25","1,677.25",0,"30,919.95",18.43,"12,934.77","399,942.30"
405,Jamaica,Jamaica s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"17,815.89","17,815.89",0,"8,559.03",0.48,"37,833.67","323,819.55"
406,Jamaica,Jamaica,Tonelada,Cielo abierto,Orgánico,Nacional,44.8,44.8,0,26.53,0.59,"46,736.01","1,239.91"
407,Jatropha,Jatropha s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,349,349,0,"1,069.92",3.07,"3,610.86","3,863.34"
408,Jengibre,Jengibre s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,243.3,243.3,0,"2,829.66",11.63,"20,153.40","57,027.26"
409,Jícama,Jícama s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"6,169.47","6,169.47",0,"182,068.46",29.51,"5,698.11","1,037,446.01"
410,Kale,Kale,Tonelada,Cielo abierto,Convencional,Exportación,121,121,0,"1,833.15",15.15,"10,579.70","19,394.18"
411,Kale,Kale s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,15,15,0,285,19,"4,406.32","1,255.80"
412,Kohlrabi,Kohlrabi s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,20,20,0,300,15,"6,620.00","1,986.00"
413,Lechuga,Lechuga escarola,Tonelada,Cielo abierto,Convencional,Exportación,52,52,0,"1,080.04",20.77,"7,400.00","7,992.30"
414,Lechuga,Lechuga romana,Tonelada,Cielo abierto,Convencional,Exportación,316,316,0,"7,900.00",25,"5,857.32","46,272.84"
415,Lechuga,Lechuga s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,6.5,6.5,0,88.45,13.61,"5,409.57",478.48
416,Lechuga,Lechuga orejona,Tonelada,Cielo abierto,Convencional,Nacional,"2,336.95","2,336.95",0,"47,381.53",20.27,"5,111.51","242,191.24"
417,Lechuga,Lechuga escarola,Tonelada,Cielo abierto,Convencional,Nacional,618,612,6,"11,214.43",18.32,"7,383.17","82,798.03"
418,Lechuga,Lechuga romana,Tonelada,Cielo abierto,Convencional,Nacional,"17,423.34","17,417.34",6,"422,167.98",24.24,"5,415.72","2,286,345.07"
419,Lechuga,Lechuga baby leaf,Tonelada,Cielo abierto,Orgánico,Exportación,435,435,0,"6,316.20",14.52,"9,738.80","61,512.21"
420,Lechuga,Lechuga romana,Tonelada,Cielo abierto,Orgánico,Nacional,509,509,0,"10,783.50",21.19,"7,848.18","84,630.88"
421,Lechuga,Lechuga romana,Tonelada,Invernadero,Convencional,Nacional,37,37,0,"4,947.27",133.71,"6,371.44","31,521.24"
422,Lechuga,Lechuga romana,Tonelada,Invernadero,Orgánico,Nacional,25,25,0,552,22.08,"4,277.72","2,361.30"
423,Lenteja,Lenteja s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"6,980.00","6,980.00",0,"8,114.44",1.16,"11,443.41","92,856.84"
424,Lilium (azucena),Lilium (azucena),Gruesa,Invernadero,Convencional,Nacional,248.49,248.49,0,"782,191.27","3,147.78",422.78,"330,698.07"
425,Lilium (azucena),Lilium (azucena),Planta,Invernadero,Convencional,Nacional,8.1,8.1,0,"1,244,467.13","153,637.92",18.5,"23,027.54"
426,Lima,Lima s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,843.82,799.82,8,"6,828.99",8.54,"7,281.27","49,723.75"
427,Limón,Limón persa,Tonelada,Cielo abierto,Convencional,Exportación,284,284,0,"3,448.50",12.14,"16,846.60","58,095.50"
428,Limón,Limón italiano,Tonelada,Cielo abierto,Convencional,Nacional,"9,887.40","8,523.40",0,"141,993.61",16.66,"9,358.27","1,328,814.90"
429,Limón,Limón agrio (mexicano),Tonelada,Cielo abierto,Convencional,Nacional,"104,406.59","98,160.95",0,"1,482,936.02",15.11,"11,010.21","16,327,437.75"
430,Limón,Limón persa,Tonelada,Cielo abierto,Convencional,Nacional,"113,689.95","106,832.98",0,"1,635,574.59",15.31,"6,919.53","11,317,409.34"
431,Limón,Limón agrio (mexicano),Tonelada,Cielo abierto,Orgánico,Nacional,113.5,113.5,0,"1,048.48",9.24,"12,660.76","13,274.55"
432,Limón,Limón italiano,Tonelada,Cielo abierto,Orgánico,Nacional,360.65,360.65,0,"7,516.73",20.84,"10,640.47","79,981.51"
433,Limón,Limón persa,Tonelada,Cielo abierto,Orgánico,Nacional,192.5,192,0,"2,774.04",14.45,"9,701.65","26,912.76"
434,Limón real,Limón real s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,665,392,0,"9,501.16",24.24,"8,004.63","76,053.28"
435,Limonium,Limonium s/clasificar,Manojo,Cielo abierto,Convencional,Nacional,10.1,10.1,0,"31,320.10","3,101.00",580.55,"18,182.88"
436,Linaza,Linaza s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,8,8,0,5.04,0.63,"8,430.00",42.49
437,Litchi,Litchi s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"3,862.40","3,786.15",0,"29,988.81",7.92,"22,018.05","660,295.17"
438,Litchi,Litchi,Tonelada,Cielo abierto,Orgánico,Nacional,3,3,0,17.79,5.93,"28,539.12",507.71
439,Macadamia,Macadamia s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"1,241.70","1,232.20",0,"2,323.49",1.89,"25,105.38","58,332.11"
440,Maguey,Maguey penca,Tonelada,Cielo abierto,Convencional,Nacional,358,237,0,"3,984.15",16.81,"7,225.35","28,786.87"
441,Maguey forrajero,Maguey forrajero s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"1,216.00","1,216.00",0,"14,472.20",11.9,536.16,"7,759.46"
442,Maguey mixiotero,Maguey mixiotero s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,10,0,0,0,0,0,0
443,Maguey pulquero,Maguey pulquero aguamiel,Miles de lts.,Cielo abierto,Convencional,Nacional,"9,328.19","4,593.64",0,"183,388.29",39.92,"4,545.30","833,554.61"
444,Maíz forrajero en verde,Maíz forrajero en verde s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"589,002.75","580,033.25","8,969.50","16,793,064.76",28.95,931.53,"15,643,275.35"
445,Maíz grano,Maíz grano blanco,Tonelada,Cielo abierto,Convencional,Nacional,"6,128,260.05","6,053,182.54","75,077.51","21,404,862.12",3.54,"5,652.64","120,994,015.19"
446,Maíz grano,Maíz grano pozolero,Tonelada,Cielo abierto,Convencional,Nacional,"8,075.80","8,075.80",0,"31,008.12",3.84,"6,344.90","196,743.45"
447,Maíz grano,Maíz grano amarillo,Tonelada,Cielo abierto,Convencional,Nacional,"489,274.63","478,140.63","11,134.00","2,836,804.20",5.93,"5,921.23","16,797,378.10"
448,Maíz grano,Maíz grano de color,Tonelada,Cielo abierto,Convencional,Nacional,"20,155.73","20,155.73",0,"42,013.05",2.08,"5,786.04","243,089.13"
449,Maíz grano,Maíz grano azul,Tonelada,Cielo abierto,Convencional,Nacional,"9,331.00","8,481.00",850,"11,820.75",1.39,"6,689.98","79,080.64"
450,Maíz palomero,Maíz palomero s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,9.5,9.5,0,31.92,3.36,"2,501.25",79.84
451,Malanga,Malanga s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,495,495,0,"39,530.00",79.86,"6,251.16","247,108.23"
452,Mamey,Mamey s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"1,807.33","1,725.43",0,"29,532.23",17.12,"5,713.83","168,742.06"
453,Mandarina,Mandarina criolla,Tonelada,Cielo abierto,Convencional,Nacional,"2,517.12","2,487.80",0,"31,189.85",12.54,"6,602.26","205,923.56"
454,Mandarina,Mandarina murcot,Tonelada,Cielo abierto,Convencional,Nacional,"1,744.35","1,491.30",0,"23,200.10",15.56,"6,598.43","153,084.24"
455,Mandarina,Mandarina fairchild,Tonelada,Cielo abierto,Convencional,Nacional,170.5,163.5,0,"2,433.82",14.89,"4,135.68","10,065.50"
456,Mandarina,Mandarina dancy,Tonelada,Cielo abierto,Convencional,Nacional,"14,604.60","14,556.10",0,"195,911.81",13.46,"3,313.48","649,150.27"
457,Mandarina,Mandarina fremont,Tonelada,Cielo abierto,Convencional,Nacional,"3,965.50","3,902.50",0,"58,015.71",14.87,"4,561.92","264,663.27"
458,Mango,Mango kent,Tonelada,Cielo abierto,Convencional,Exportación,"6,630.00","5,390.00",0,"62,245.86",11.55,"7,857.95","489,124.81"
459,Mango,Mango keitt,Tonelada,Cielo abierto,Convencional,Exportación,100.6,97.1,0,"1,359.18",14,"8,295.83","11,275.53"
460,Mango,Mango obo,Tonelada,Cielo abierto,Convencional,Nacional,108,108,0,557.63,5.16,"3,714.71","2,071.43"
461,Mango,Mango keitt,Tonelada,Cielo abierto,Convencional,Nacional,"14,639.88","14,468.38",0,"207,727.12",14.36,"4,016.35","834,304.97"
462,Mango,Mango manila,Tonelada,Cielo abierto,Convencional,Nacional,"32,907.38","32,513.66",0,"355,944.35",10.95,"6,951.23","2,474,252.19"
463,Mango,Mango ataulfo,Tonelada,Cielo abierto,Convencional,Nacional,"64,669.00","62,256.05",0,"653,220.21",10.49,"6,651.34","4,344,790.18"
464,Mango,Mango oro,Tonelada,Cielo abierto,Convencional,Nacional,"4,152.00","4,152.00",0,"46,631.55",11.23,"4,584.37","213,776.07"
465,Mango,Mango tommy atkins,Tonelada,Cielo abierto,Convencional,Nacional,"25,624.16","24,863.53",0,"298,238.67",12,"6,221.56","1,855,509.59"
466,Mango,Mango haden,Tonelada,Cielo abierto,Convencional,Nacional,"21,787.22","21,294.41",0,"215,690.64",10.13,"6,562.41","1,415,450.83"
467,Mango,Mango diplomático,Tonelada,Cielo abierto,Convencional,Nacional,171.58,171.58,0,"1,997.12",11.64,"4,038.34","8,065.05"
468,Mango,Mango kent,Tonelada,Cielo abierto,Convencional,Nacional,"25,835.27","24,580.52",0,"297,425.64",12.1,"5,802.21","1,725,726.75"
469,Mango,Mango manililla,Tonelada,Cielo abierto,Convencional,Nacional,"4,910.60","4,900.60",0,"31,664.19",6.46,"4,852.21","153,641.37"
470,Mango,Mango criollo,Tonelada,Cielo abierto,Convencional,Nacional,"14,053.21","13,817.75",0,"136,501.84",9.88,"5,009.19","683,764.11"
471,Mango,Mango paraíso (petacón),Tonelada,Cielo abierto,Convencional,Nacional,496.05,494.5,0,"2,974.99",6.02,"5,511.97","16,398.05"
472,Mango,Mango ataulfo,Tonelada,Cielo abierto,Orgánico,Nacional,394.22,391.22,0,"3,211.40",8.21,"6,529.77","20,969.70"
473,Mango,Mango tommy atkins,Tonelada,Cielo abierto,Orgánico,Nacional,"1,140.50","1,130.50",0,"8,165.72",7.22,"8,282.12","67,629.46"
474,Mango,Mango kent,Tonelada,Cielo abierto,Orgánico,Nacional,682,674,0,"6,180.34",9.17,"7,572.09","46,798.07"
475,Mango,Mango keitt,Tonelada,Cielo abierto,Orgánico,Nacional,232,232,0,"3,386.37",14.6,"4,495.01","15,221.78"
476,Mango,Mango haden,Tonelada,Cielo abierto,Orgánico,Nacional,"2,431.25","2,421.25",0,"14,497.37",5.99,"8,613.21","124,868.90"
477,Mangostán,Mangostán s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,65,30,0,55,1.83,"69,375.80","3,815.67"
478,Mano de león,Mano de león s/clasificar,Manojo,Cielo abierto,Convencional,Nacional,40.5,40.5,0,"131,505.00","3,247.04",58.31,"7,668.38"
479,Mano de león,Mano de león s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,16.5,16.5,0,205.72,12.47,"9,900.84","2,036.80"
480,Manzana,Manzana rome beauty,Tonelada,Cielo abierto,Convencional,Nacional,662.3,652.3,0,"5,575.47",8.55,"10,621.68","59,220.86"
481,Manzana,Manzana starking delicious,Tonelada,Cielo abierto,Convencional,Nacional,9,9,0,82.6,9.18,"8,704.78",719.02
482,Manzana,Manzana red chief,Tonelada,Cielo abierto,Convencional,Nacional,"1,208.00","1,193.00",0,"27,161.50",22.77,"11,000.00","298,776.50"
483,Manzana,Manzana criolla,Tonelada,Cielo abierto,Convencional,Nacional,"6,782.93","6,328.27",0,"34,348.09",5.43,"7,493.23","257,378.30"
484,Manzana,Manzana gala,Tonelada,Cielo abierto,Convencional,Nacional,570.03,470.03,0,"4,929.08",10.49,"11,702.26","57,681.36"
485,Manzana,Manzana red delicious,Tonelada,Cielo abierto,Convencional,Nacional,"16,122.83","15,528.28",0,"236,159.19",15.21,"11,005.05","2,598,943.19"
486,Manzana,Manzana starking,Tonelada,Cielo abierto,Convencional,Nacional,803.1,798.1,0,"2,389.70",2.99,"7,131.66","17,042.54"
487,Manzana,Manzana top red,Tonelada,Cielo abierto,Convencional,Nacional,16.16,13.16,0,107.96,8.2,"12,333.14","1,331.49"
488,Manzana,Manzana anna,Tonelada,Cielo abierto,Convencional,Nacional,568,568,0,"2,019.20",3.55,"7,190.40","14,518.87"
489,Manzana,Manzana golden delicious,Tonelada,Cielo abierto,Convencional,Nacional,"25,835.96","24,500.80",0,"432,558.33",17.65,"11,173.62","4,833,242.44"
490,Manzana,Manzana golden delicious,Tonelada,Malla sombra,Convencional,Nacional,"3,997.00","3,967.00",0,"30,942.60",7.8,"11,700.00","362,028.42"
491,Manzana,Manzana red delicious,Tonelada,Malla sombra,Convencional,Nacional,460,460,0,"3,450.00",7.5,"11,700.00","40,365.00"
492,Manzanilla,Manzanilla s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,597,597,0,"2,175.20",3.64,"5,880.42","12,791.08"
493,Maracuyá,Maracuyá s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,566.5,566.5,0,"6,341.55",11.19,"9,615.78","60,978.93"
494,Marañón,Marañón s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,737.5,736.5,0,610.95,0.83,"9,073.90","5,543.70"
495,Marañón,Marañón,Tonelada,Cielo abierto,Orgánico,Nacional,80,80,0,40.8,0.51,"6,703.71",273.51
496,Margarita,Margarita s/clasificar,Manojo,Cielo abierto,Convencional,Nacional,36.56,36.56,0,"525,482.75","14,373.16",30.47,"16,011.76"
497,Margarita,Margarita s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,6.5,6.5,0,62.6,9.63,"10,000.00",626
498,Mejorana,Mejorana s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,23,23,0,55.64,2.42,"9,439.04",525.19
499,Mejorana,Mejorana,Tonelada,Cielo abierto,Orgánico,Nacional,3.2,3.2,0,10.36,3.24,"19,529.61",202.33
500,Melón,Melón cantaloupe,Tonelada,Cielo abierto,Convencional,Exportación,"1,010.00","1,010.00",0,"35,279.04",34.93,"7,239.69","255,409.48"
501,Melón,Melón valenciano (honey dew),Tonelada,Cielo abierto,Convencional,Exportación,654,654,0,"22,052.39",33.72,"8,466.12","186,698.21"
502,Melón,Melón cantaloupe,Tonelada,Cielo abierto,Convencional,Nacional,"15,655.72","15,655.72",0,"484,353.95",30.94,"6,692.62","3,241,595.69"
503,Melón,Melón valenciano (honey dew),Tonelada,Cielo abierto,Convencional,Nacional,"1,136.40","1,136.40",0,"36,491.65",32.11,"7,111.48","259,509.51"
504,Melón,Melón valenciano (honey dew),Tonelada,Cielo abierto,Orgánico,Exportación,31,31,0,829.87,26.77,"9,700.00","8,049.74"
505,Melón amargo,Melón amargo exportacion,Tonelada,Cielo abierto,Convencional,Exportación,76,76,0,"1,070.08",14.08,"5,900.00","6,313.47"
506,Melón amargo,Melón amargo s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,187,187,0,"5,989.28",32.03,"13,838.35","82,881.74"
507,Membrillo,Membrillo s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,342.5,327.5,0,"1,410.99",4.31,"12,650.33","17,849.49"
508,Menta,Menta s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,13.5,13.5,0,178.06,13.19,"13,153.71","2,342.15"
509,Menta,Menta,Tonelada,Cielo abierto,Orgánico,Nacional,3.4,3.4,0,13.33,3.92,"29,676.27",395.58
510,Menta,Menta,Tonelada,Malla sombra,Convencional,Exportación,2.5,2.5,0,23.75,9.5,"20,000.00",475
511,Moringa,Moringa s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,46.25,46.25,0,190.53,4.12,"7,832.79","1,492.38"
512,Nabo,Nabo s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,108,108,0,"1,895.56",17.55,"3,256.49","6,172.87"
513,Nabo forrajero,Nabo forrajero s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,399.2,399.2,0,"5,096.64",12.77,"1,111.83","5,666.57"
514,Nanche,Nanche s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"2,035.57","1,927.80",0,"10,203.36",5.29,"7,604.82","77,594.74"
515,Napa,Napa s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,417.5,417.5,0,"9,850.17",23.59,"5,435.34","53,538.98"
516,Naranja,Naranja hamlin,Tonelada,Cielo abierto,Convencional,Nacional,"13,611.00","13,322.75",0,"151,876.68",11.4,"5,847.00","888,023.02"
517,Naranja,Naranja marrs,Tonelada,Cielo abierto,Convencional,Nacional,"1,502.80","1,490.45",0,"21,361.24",14.33,"4,657.33","99,486.26"
518,Naranja,Naranja criolla,Tonelada,Cielo abierto,Convencional,Nacional,"2,093.96","1,988.71",0,"14,571.50",7.33,"2,772.72","40,402.71"
519,Naranja,Naranja valencia,Tonelada,Cielo abierto,Convencional,Nacional,"333,806.05","322,132.28",0,"4,622,127.74",14.35,"4,013.46","18,550,725.47"
520,Naranja,Naranja agria (washington navel),Tonelada,Cielo abierto,Convencional,Nacional,"2,327.98","2,282.48",0,"26,114.99",11.44,"6,284.28","164,113.94"
521,Nardo,Nardo s/clasificar,Gruesa,Cielo abierto,Convencional,Nacional,352.24,352.24,0,"358,778.38","1,018.56",268.14,"96,201.91"
522,Níspero,Níspero s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,1,1,0,3.45,3.45,"2,684.22",9.26
523,Nochebuena,Nochebuena s/clasificar,Planta,Cielo abierto,Convencional,Nacional,64,64,0,"4,981,720.00","77,839.38",21.24,"105,823.43"
524,Nochebuena,Nochebuena,Planta,Invernadero,Convencional,Nacional,358.89,358.89,0,"24,533,019.95","68,358.05",41.54,"1,019,160.07"
525,Noni,Noni s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,26.8,26.8,0,145.71,5.44,"8,056.57","1,173.92"
526,Nopal forrajero,Nopal forrajero s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"11,421.00","11,400.00",0,"109,852.00",9.64,580.6,"63,779.53"
527,Nopalitos,Nopalitos s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"12,562.64","12,364.16",0,"841,518.39",68.06,"3,565.70","3,000,598.34"
528,Nopalitos,Nopalitos,Tonelada,Cielo abierto,Orgánico,Nacional,22.5,22.5,0,888.9,39.51,"5,018.09","4,460.58"
