Año: 2024,,,,,,,,,,,,,
Producción Agrícola,,,,,,,,,,,,,
Ciclo: Ciclicos - Perennes,,,,,,,,,,,,,
Modalidad: Riego + Temporal,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Cultivo,Variedad,UDM,Tipo de tecnología,Tipo de producción,Tipo de mercado,Superficie,,,Producción,Rendimiento,PMR,Valor Producción
,,,,,,,(ha),,,,(udm/ha),($/udm),(miles de Pesos)
,,,,,,,Sembrada,Cosechada,Siniestrada,,,,
66,Ave del paraíso,Ave del paraíso s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,38,38,0,"16,322.52",429.54,347.92,"5,678.87"
67,Avena forrajera en verde,Avena forrajera en verde s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"546,982.00","498,592.12","48,389.88","7,661,603.43",15.37,746.2,"5,717,053.03"
68,Avena forrajera en verde,Avena forrajera achicalada s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"15,310.00","14,310.00","1,000.00","185,990.00",13,795.09,"147,878.25"
69,Avena forrajera en verde,Avena forrajera seca s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,75,75,0,300,4,"3,500.00","1,050.00"
70,Avena forrajera en verde,Avena forrajera en verde,Tonelada,Invernadero,Convencional,Nacional,30,30,0,"1,530.00",51,690,"1,055.70"
71,Avena forrajera en verde,Avena forrajera en verde,Tonelada,Malla sombra,Convencional,Nacional,180,180,0,"9,645.00",53.58,681.86,"6,576.52"
72,Avena grano,Avena grano s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"45,236.44","38,159.54","7,076.90","74,602.88",1.96,"6,022.74","449,313.51"
73,Baby back choi,Baby back choi s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,353.75,353.75,0,"5,071.45",14.34,"13,510.79","68,519.29"
74,Bambú,Bambú s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,390,329,0,"4,204.39",12.78,"2,690.88","11,313.50"
75,Bangaña,Bangaña s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,7,7,0,54.4,7.77,"5,735.29",312
76,Begonia,Begonia,Planta,Invernadero,Convencional,Nacional,8.6,8.6,0,"1,923,908.10","223,710.24",19.27,"37,077.44"
77,Belén,Belén,Planta,Invernadero,Convencional,Nacional,6.95,6.95,0,"1,450,856.88","208,756.39",12.66,"18,360.84"
78,Berenjena,Berenjena,Tonelada,Cielo abierto,Convencional,Exportación,191,191,0,"10,520.83",55.08,"12,192.05","128,270.46"
79,Berenjena,Berenjena s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,682.04,682.04,0,"25,141.18",36.86,"9,860.91","247,914.96"
80,Berenjena,Berenjena,Tonelada,Cielo abierto,Orgánico,Exportación,73,73,0,"2,125.00",29.11,"11,960.38","25,415.80"
81,Berenjena,Berenjena,Tonelada,Cielo abierto,Orgánico,Nacional,48,48,0,"1,521.72",31.7,"14,244.94","21,676.82"
82,Berenjena,Berenjena,Tonelada,Invernadero,Convencional,Exportación,10,10,0,620,62,"10,005.00","6,203.10"
83,Berenjena,Berenjena,Tonelada,Invernadero,Convencional,Nacional,71,71,0,"7,065.35",99.51,"11,225.58","79,312.63"
84,Berenjena,Berenjena,Tonelada,Macro túnel,Convencional,Nacional,4,4,0,268,67,"7,343.75","1,968.13"
85,Berenjena,Berenjena,Tonelada,Malla sombra,Convencional,Exportación,86,86,0,"6,724.00",78.19,"11,106.92","74,682.91"
86,Berenjena,Berenjena,Tonelada,Malla sombra,Convencional,Nacional,72.5,72.5,0,"6,046.50",83.4,"10,788.33","65,231.63"
87,Betabel,Betabel,Tonelada,Cielo abierto,Convencional,Exportación,53,53,0,828.99,15.64,"12,309.84","10,204.74"
88,Betabel,Betabel s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,781.01,781.01,0,"15,858.64",20.31,"5,983.28","94,886.61"
89,Boi choi,Boi choi s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,315,315,0,"3,577.35",11.36,"4,900.00","17,529.02"
90,Brócoli,Brócoli,Tonelada,Cielo abierto,Convencional,Exportación,"2,033.00","2,033.00",0,"38,971.01",19.17,"12,780.46","498,067.54"
91,Brócoli,Brócoli chino,Tonelada,Cielo abierto,Convencional,Nacional,73,73,0,"1,286.26",17.62,"9,612.72","12,364.46"
92,Brócoli,Brócoli s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"32,013.26","31,999.76",13.5,"587,502.22",18.36,"6,663.94","3,915,080.49"
93,Brócoli,Brócoli,Tonelada,Cielo abierto,Orgánico,Exportación,175,175,0,"2,712.50",15.5,"14,700.00","39,873.75"
94,Brócoli,Brócoli broccolette,Tonelada,Cielo abierto,Orgánico,Exportación,282.5,282.5,0,"4,237.50",15,"22,500.00","95,343.75"
95,Brócoli,Brócoli,Tonelada,Cielo abierto,Orgánico,Nacional,373,338,35,"5,480.40",16.21,"7,708.46","42,245.47"
96,Brócoli,Brócoli,Tonelada,Invernadero,Convencional,Nacional,3,3,0,138,46,"8,368.48","1,154.85"
97,Brócoli,Brócoli,Tonelada,Malla sombra,Convencional,Nacional,8,8,0,358.5,44.81,"7,729.50","2,771.03"
98,Cacahuate,Cacahuate s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"47,494.77","40,070.52","7,424.25","70,228.35",1.75,"15,036.86","1,056,014.12"
99,Cacao,Cacao s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"52,446.09","52,267.50",0,"28,440.44",0.54,"42,559.33","1,210,405.97"
100,Cacao,Cacao,Tonelada,Cielo abierto,Orgánico,Nacional,6,6,0,7.2,1.2,"34,684.26",249.73
101,Café cereza,Café cereza robusta,Tonelada,Cielo abierto,Convencional,Nacional,257,257,0,388.07,1.51,"5,575.81","2,163.80"
102,Café cereza,Café cereza s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"679,582.00","639,086.70","1,900.00","1,019,319.72",1.59,"6,409.69","6,533,523.92"
103,Café cereza,Café cereza arábiga,Tonelada,Cielo abierto,Orgánico,Nacional,52,52,0,70.2,1.35,"7,128.63",500.43
104,Café cereza,Café cereza,Tonelada,Cielo abierto,Orgánico,Nacional,"21,444.30","20,303.70",0,"36,539.47",1.8,"6,513.45","237,997.97"
105,Caimito,Caimito s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,2,2,0,14.6,7.3,"4,202.74",61.36
106,Calabacita,Calabacita italiana (zucchini),Tonelada,Cielo abierto,Convencional,Exportación,"2,766.80","2,740.80",26,"83,293.97",30.39,"6,832.92","569,140.91"
107,Calabacita,Calabacita italiana (zucchini),Tonelada,Cielo abierto,Convencional,Nacional,"18,559.71","18,525.71",34,"370,922.24",20.02,"6,522.56","2,419,363.40"
108,Calabacita,Calabacita criolla,Tonelada,Cielo abierto,Convencional,Nacional,"1,623.47","1,623.47",0,"22,117.87",13.62,"7,272.67","160,855.91"
109,Calabacita,Calabacita italiana (zucchini),Tonelada,Cielo abierto,Orgánico,Exportación,119,119,0,"2,869.72",24.12,"7,778.35","22,321.67"
110,Calabacita,Calabacita italiana (zucchini),Tonelada,Cielo abierto,Orgánico,Nacional,36,36,0,865.08,24.03,"18,196.71","15,741.61"
111,Calabacita,Calabacita,Tonelada,Cielo abierto,Orgánico,Nacional,8,8,0,136,17,"7,275.00",989.4
112,Calabacita,Calabacita italiana (zucchini),Tonelada,Invernadero,Convencional,Exportación,42,42,0,840,20,"3,620.42","3,041.15"
113,Calabacita,Calabacita italiana (zucchini),Tonelada,Invernadero,Convencional,Nacional,4,4,0,214,53.5,"8,512.85","1,821.75"
114,Calabaza,Calabaza de castilla,Tonelada,Cielo abierto,Convencional,Exportación,83,83,0,"2,050.06",24.7,"7,346.34","15,060.43"
115,Calabaza,Calabaza butter (buchona),Tonelada,Cielo abierto,Convencional,Exportación,310,310,0,"10,060.12",32.45,"8,050.00","80,983.97"
116,Calabaza,Calabaza kabocha,Tonelada,Cielo abierto,Convencional,Exportación,653.82,653.82,0,"13,728.23",21,"12,845.83","176,350.53"
117,Calabaza,Calabaza spaguetti,Tonelada,Cielo abierto,Convencional,Exportación,47,47,0,"1,499.77",31.91,"8,500.00","12,748.05"
118,Calabaza,Calabaza de castilla,Tonelada,Cielo abierto,Convencional,Nacional,"1,970.54","1,970.54",0,"37,175.88",18.87,"7,509.11","279,157.92"
119,Calabaza,Calabaza kabocha,Tonelada,Cielo abierto,Convencional,Nacional,709,699,10,"12,191.55",17.44,"11,375.22","138,681.59"
120,Calabaza,Calabaza spaguetti,Tonelada,Cielo abierto,Convencional,Nacional,249,249,0,"5,120.05",20.56,"7,205.66","36,893.36"
121,Calabaza,Calabaza s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,15,15,0,249.24,16.62,"5,988.48","1,492.57"
122,Calabaza,Calabaza criolla,Tonelada,Cielo abierto,Convencional,Nacional,384.75,384.75,0,"4,732.42",12.3,"4,605.26","21,794.01"
123,Calabaza,Calabaza butter (buchona),Tonelada,Cielo abierto,Convencional,Nacional,20,20,0,525,26.25,"5,125.43","2,690.85"
124,Calabaza semilla o chihua,Calabaza semilla o chihua s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"54,307.65","54,307.65",0,"36,017.00",0.66,"39,019.41","1,405,362.10"
125,Calancoe,Calancoe,Planta,Invernadero,Convencional,Nacional,9.3,9.3,0,"1,278,037.50","137,423.39",13.58,"17,353.49"
126,Camote,Camote s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"3,287.04","3,287.04",0,"66,732.29",20.3,"7,624.85","508,823.57"
127,Caña de azúcar,Caña de azúcar industrial,Tonelada,Cielo abierto,Convencional,Nacional,"843,038.78","784,339.74",0,"53,050,963.28",67.64,953.6,"50,589,597.76"
128,Caña de azúcar,Caña de azúcar industrial,Tonelada,Cielo abierto,Orgánico,Nacional,9.5,8,0,398.4,49.8,"1,095.00",436.25
129,Caña de azúcar otro uso,Caña de azúcar piloncillo s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"11,363.65","11,012.55",0,"286,920.86",26.05,904.77,"259,597.70"
130,Caña de azúcar otro uso,Caña de azúcar fruta s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,"2,504.34","2,459.64",0,"111,719.37",45.42,"1,491.05","166,579.42"
131,Caña de azúcar otro uso,Caña de azúcar forrajera s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,69.7,69.7,0,"3,406.15",48.87,920.9,"3,136.73"
132,Caña de azúcar otro uso,Caña de azúcar piloncillo,Tonelada,Cielo abierto,Orgánico,Nacional,369.75,353.25,0,"18,342.10",51.92,954.33,"17,504.46"
133,Canola,Canola s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,452.78,452.78,0,443.6,0.98,"6,785.93","3,010.24"
134,Canola forrajera,Canola forrajera s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,4,4,0,70.2,17.55,"1,150.00",80.73
135,Capulín,Capulín s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,37.6,32.6,0,85.17,2.61,"8,029.17",683.84
136,Carambolo,Carambolo s/clasificar,Tonelada,Cielo abierto,Convencional,Nacional,45,45,0,462.47,10.28,"7,169.66","3,315.75"
